"","created_at","id","id_str","text","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","geo","coordinates","place","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","filter_level","extended_tweet.full_text","full_tweet_text","joe_mentions","biden_mentions","vote_mentions","america_mentions","country_mentions","ballots_mentions","trump_mentions","republican_mentions","democrat_mentions","maga_mentions","canada_mentions","black_mentions","industry_mentions","hispanic_mentions","elections_mentions","covid_mentions","virus_mentions","healthcare_mentions","health_mentions","people_mentions","women_mentions","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","Sun Oct 18 23:04:34 +0000 2020",1317964821900374016,"1317964821900374016","https://t.co/swBqIhNVc9",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,809,5712,22631,74014,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"2","Sun Oct 18 23:04:26 +0000 2020",1317964785170853888,"1317964785170853888","https://t.co/Oay4jTvbUL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1931,4430,24196,78978,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"3","Sun Oct 18 23:04:17 +0000 2020",1317964748693012480,"1317964748693012480","https://t.co/mgmCZj5jgh",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1777,5197,33075,101074,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"4","Sun Oct 18 23:03:31 +0000 2020",1317964555658563584,"1317964555658563584","https://t.co/yEbGpzVWhH",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1542,4980,19396,60599,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"5","Sun Oct 18 22:44:44 +0000 2020",1317959831081250816,"1317959831081250816","Big show tonight on @FoxNews! @MarkLevinShow will be exposing Joe Biden’s Corruption at 8:00pmE — and of course, do… https://t.co/NqMosZoo9r",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,946,10369,24454,89653,FALSE,FALSE,NA,"low","Big show tonight on @FoxNews! @MarkLevinShow will be exposing Joe Biden’s Corruption at 8:00pmE — and of course, don’t miss @NextRevFNC with @SteveHiltonx at 9:00pmE!","Big show tonight onwill be exposing Joe Bidens Corruption at pmEand of course dont misswithat pmE",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,1,1,0
"6","Sun Oct 18 22:37:01 +0000 2020",1317957885842747392,"1317957885842747393","https://t.co/BK010CENQO",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,621,2984,15115,50635,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"7","Sun Oct 18 22:36:35 +0000 2020",1317957779781423104,"1317957779781423105","https://t.co/vOw2bXAtBT",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,754,4249,12720,46130,FALSE,FALSE,FALSE,"low",NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
"8","Sun Oct 18 22:15:20 +0000 2020",1317952428759678976,"1317952428759678976","THANK YOU Newport Beach, California! Now on my way to Carson City, Nevada. Another big crowd, see you soon! #MAGA https://t.co/QV8V9SdzJI",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3463,11142,39437,158658,FALSE,FALSE,FALSE,"low",NA,"THANK YOU Newport Beach California Now on my way to Carson City Nevada Another big crowd see you soon MAGA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0
"9","Sun Oct 18 18:14:20 +0000 2020",1317891781648773120,"1317891781648773121","Corrupt politician Joe Biden makes Crooked Hillary look like an amateur!",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5131,46905,64273,312373,FALSE,FALSE,NA,"low",NA,"Corrupt politician Joe Biden makes Crooked Hillary look like an amateur",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,1,0
"10","Sun Oct 18 16:14:49 +0000 2020",1317861704819118080,"1317861704819118080","Not my Wall, which will soon be finished (and Mexico will pay for the Wall!). Totally unrelated, but I think Steve… https://t.co/YALrFLWh3M",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1434,15625,16661,61404,FALSE,FALSE,FALSE,"low","Not my Wall, which will soon be finished (and Mexico will pay for the Wall!). Totally unrelated, but I think Steve will be just fine. By the way, is this the same job hopping Tim O’Brien that headed Mini Mike Bloomberg’s humiliating 2 Billion Dollar Presidential run? Debate prep! https://t.co/cQfEtszRrB","Not my Wall which will soon be finished and Mexico will pay for the Wall Totally unrelated but I think Steve will be just fine By the way is this the same job hopping Tim OBrien that headed Mini Mike Bloombergs humiliatingBillion Dollar Presidential run Debate prep",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,1,0,0,1,0,3
"11","Sun Oct 18 16:02:48 +0000 2020",1317858680461668352,"1317858680461668352","Very proud of the @nypost, my former “hometown newspaper”. They have said and shown what everyone knows about Sleep… https://t.co/9eM5rlnrcB",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1802,19268,46494,169870,FALSE,FALSE,NA,"low","Very proud of the @nypost, my former “hometown newspaper”. They have said and shown what everyone knows about Sleepy Joe Biden. He is a CORRUPT POLITICIAN!!!","Very proud of themy former hometown newspaper They have said and shown what everyone knows about Sleepy Joe Biden He is a CORRUPT POLITICIAN",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,1,0,0,1,1,1
"12","Sun Oct 18 15:39:29 +0000 2020",1317852810302558208,"1317852810302558208","Joe Biden is a corrupt politician, and everybody knows it. Now you have the proof, perhaps like never was had befor… https://t.co/xz0a8Thrn2",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4723,40233,66670,244331,FALSE,FALSE,NA,"low","Joe Biden is a corrupt politician, and everybody knows it. Now you have the proof, perhaps like never was had before on a major politician. Laptop plus. This is the second biggest political scandal in our history!","Joe Biden is a corrupt politician and everybody knows it Now you have the proof perhaps like never was had before on a major politician Laptop plus This is the second biggest political scandal in our history",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,1,2,1
"13","Sun Oct 18 13:50:54 +0000 2020",1317825484495880192,"1317825484495880192","Hunter Biden’s laptop is a disaster for the entire Biden family, but especially for his father, Joe. It is now a pr… https://t.co/wJUZhAx2re",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,6200,46137,84069,273107,FALSE,FALSE,NA,"low","Hunter Biden’s laptop is a disaster for the entire Biden family, but especially for his father, Joe. It is now a proven fact, and cannot be denied, that all of that info is the REAL DEAL. That makes it impossible for “50%, or 10%” Joe, to ever assume the office of the President!","Hunter Bidens laptop is a disaster for the entire Biden family but especially for his father Joe It is now a proven fact and cannot be denied that all of that info is the REAL DEAL That makes it impossible fororJoe to ever assume the office of the President",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,2,1,4,2,6,4,3
"14","Sun Oct 18 13:40:23 +0000 2020",1317822838519128064,"1317822838519128068","The United States shows more CASES than other countries, which the Lamestream Fake News Media pounces on daily, bec… https://t.co/MxpKcRsHrI",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5511,40417,39338,171591,FALSE,FALSE,NA,"low","The United States shows more CASES than other countries, which the Lamestream Fake News Media pounces on daily, because it TESTS at such a high (and costly) level. No country in the world tests at this level. The more you TEST, the more CASES you will be reporting. Very simple!","The United States shows more CASES than other countries which the Lamestream Fake News Media pounces on daily because it TESTS at such a high and costly level No country in the world tests at this level The more you TEST the more CASES you will be reporting Very simple",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1,2
"15","Sun Oct 18 12:32:20 +0000 2020",1317805714228736000,"1317805714228736000","RT @wdunlap: @JoeBiden Failed ObamaCare cost the average American family $5,000 more per year -over doubling our healthcare insurance costs…",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,0,FALSE,FALSE,NA,"low",NA,"Failed ObamaCare cost the average American familymore per year over doubling our healthcare insurance costs",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0
