"","word","n"
"1","the",310
"2","to",288
"3","a",147
"4","and",146
"5","of",127
"6","in",119
"7","you",106
"8","i",97
"9","is",87
"10","this",85
"11","we",84
"12","for",77
"13","our",75
"14","president",72
"15","trump",68
"16","have",56
"17","your",49
"18","it",47
"19","on",45
"20","are",43
"21","donald",43
"22","vote",42
"23","my",37
"24","with",37
"25","if",35
"26","that",35
"27","be",34
"28","will",34
"29","as",33
"30","from",33
"31","its",32
"32","today",31
"33","about",30
"34","im",30
"35","were",30
"36","day",29
"37","all",28
"38","folks",28
"39","but",27
"40","can",26
"41","election",26
"42","last",26
"43","he",25
"44","us",25
"45","who",25
"46","voting",24
"47","get",23
"48","has",23
"49","make",23
"50","one",23
"51","an",22
"52","not",22
"53","american",21
"54","do",21
"55","when",21
"56","at",20
"57","just",20
"58","me",20
"59","people",20
"60","build",19
"61","head",19
"62","what",19
"63","by",18
"64","more",18
"65","up",18
"66","every",17
"67","nation",17
"68","register",17
"69","america",16
"70","better",16
"71","country",16
"72","covid",16
"73","no",16
"74","out",15
"75","their",15
"76","tune",15
"77","was",15
"78","back",14
"79","across",13
"80","dont",13
"81","health",13
"82","must",13
"83","or",13
"84","plan",13
"85","until",13
"86","americans",12
"87","before",12
"88","first",12
"89","than",12
"90","time",12
"91","together",12
"92","truth",12
"93","cant",11
"94","care",11
"95","court",11
"96","economy",11
"97","help",11
"98","how",11
"99","ill",11
"100","ive",11
"101","know",11
"102","live",11
"103","protect",11
"104","supreme",11
"105","theres",11
"106","away",10
"107","because",10
"108","change",10
"109","chip",10
"110","down",10
"111","early",10
"112","going",10
"113","his",10
"114","jill",10
"115","let",10
"116","millions",10
"117","moment",10
"118","night",10
"119","pandemic",10
"120","toto",10
"121","virus",10
"122","where",10
"123","years",10
"124","been",9
"125","campaign",9
"126","debate",9
"127","go",9
"128","justice",9
"129","mask",9
"130","now",9
"131","stage",9
"132","state",9
"133","t",9
"134","these",9
"135","watch",9
"136","administration",8
"137","around",8
"138","cast",8
"139","deserve",8
"140","end",8
"141","families",8
"142","final",8
"143","florida",8
"144","lets",8
"145","like",8
"146","need",8
"147","new",8
"148","person",8
"149","public",8
"150","support",8
"151","thank",8
"152","they",8
"153","through",8
"154","wait",8
"155","way",8
"156","why",8
"157","ballot",7
"158","battle",7
"159","climate",7
"160","come",7
"161","crisis",7
"162","days",7
"163","deadline",7
"164","division",7
"165","four",7
"166","great",7
"167","heard",7
"168","her",7
"169","matter",7
"170","never",7
"171","online",7
"172","over",7
"173","pennsylvania",7
"174","proud",7
"175","soul",7
"176","states",7
"177","taxes",7
"178","three",7
"179","tour",7
"180","trumps",7
"181","under",7
"182","want",7
"183","well",7
"184","white",7
"185","win",7
"186","wont",7
"187","world",7
"188","against",6
"189","already",6
"190","any",6
"191","arizona",6
"192","begins",6
"193","believe",6
"194","best",6
"195","clear",6
"196","de",6
"197","deal",6
"198","future",6
"199","got",6
"200","had",6
"201","hear",6
"202","join",6
"203","law",6
"204","lives",6
"205","middle",6
"206","obamacare",6
"207","paid",6
"208","plans",6
"209","power",6
"210","ready",6
"211","running",6
"212","so",6
"213","take",6
"214","there",6
"215","trying",6
"216","very",6
"217","violence",6
"218","weve",6
"219","whats",6
"220","worst",6
"221","would",6
"222","also",5
"223","always",5
"224","big",5
"225","celebrate",5
"226","community",5
"227","didnt",5
"228","died",5
"229","during",5
"230","entire",5
"231","everyone",5
"232","express",5
"233","few",5
"234","fight",5
"235","find",5
"236","give",5
"237","hall",5
"238","happy",5
"239","hard",5
"240","hate",5
"241","history",5
"242","hope",5
"243","into",5
"244","life",5
"245","lot",5
"246","made",5
"247","mail",5
"248","member",5
"249","month",5
"250","much",5
"251","off",5
"252","only",5
"253","para",5
"254","part",5
"255","pay",5
"256","promise",5
"257","right",5
"258","said",5
"259","she",5
"260","stake",5
"261","still",5
"262","stop",5
"263","takes",5
"264","th",5
"265","those",5
"266","tonight",5
"267","tonights",5
"268","town",5
"269","wearing",5
"270","week",5
"271","women",5
"272","after",4
"273","again",4
"274","anyone",4
"275","ballots",4
"276","carolina",4
"277","celebrating",4
"278","coming",4
"279","coronavirus",4
"280","determine",4
"281","discuss",4
"282","does",4
"283","ensure",4
"284","fact",4
"285","fear",4
"286","grassroots",4
"287","here",4
"288","hes",4
"289","ignore",4
"290","important",4
"291","isnt",4
"292","lies",4
"293","listen",4
"294","look",4
"295","love",4
"296","o",4
"297","office",4
"298","ohio",4
"299","open",4
"300","place",4
"301","please",4
"302","preexisting",4
"303","put",4
"304","refused",4
"305","republicans",4
"306","rights",4
"307","say",4
"308","see",4
"309","seek",4
"310","send",4
"311","set",4
"312","single",4
"313","stand",4
"314","started",4
"315","sure",4
"316","team",4
"317","tell",4
"318","thing",4
"319","things",4
"320","think",4
"321","too",4
"322","v",4
"323","vice",4
"324","wants",4
"325","without",4
"326","working",4
"327","youre",4
"328","able",3
"329","action",3
"330","actually",3
"331","ahead",3
"332","amer",3
"333","answer",3
"334","arkansas",3
"335","ask",3
"336","biden",3
"337","birthday",3
"338","black",3
"339","both",3
"340","bring",3
"341","call",3
"342","called",3
"343","career",3
"344","comes",3
"345","condemn",3
"346","continue",3
"347","control",3
"348","could",3
"349","counting",3
"350","countryand",3
"351","crises",3
"352","deeply",3
"353","democrat",3
"354","doesnt",3
"355","doing",3
"356","dying",3
"357","eight",3
"358","elected",3
"359","en",3
"360","endofquarter",3
"361","enough",3
"362","equal",3
"363","event",3
"364","ever",3
"365","everything",3
"366","facing",3
"367","failed",3
"368","festival",3
"369","finally",3
"370","forces",3
"371","free",3
"372","friend",3
"373","giving",3
"374","global",3
"375","hamilton",3
"376","happening",3
"377","him",3
"378","hit",3
"379","imvotingfor",3
"380","info",3
"381","jobs",3
"382","keeping",3
"383","la",3
"384","laid",3
"385","las",3
"386","left",3
"387","lgbtq",3
"388","lost",3
"389","making",3
"390","masks",3
"391","may",3
"392","mean",3
"393","meet",3
"394","mike",3
"395","months",3
"396","most",3
"397","n",3
"398","name",3
"399","nations",3
"400","north",3
"401","november",3
"402","opportunity",3
"403","other",3
"404","outcome",3
"405","overamericans",3
"406","pence",3
"407","polls",3
"408","presidential",3
"409","race",3
"410","racial",3
"411","registered",3
"412","registration",3
"413","remarks",3
"414","save",3
"415","scranton",3
"416","senate",3
"417","share",3
"418","should",3
"419","starts",3
"420","stops",3
"421","tax",3
"422","tear",3
"423","throw",3
"424","tomorrow",3
"425","took",3
"426","train",3
"427","two",3
"428","underway",3
"429","unity",3
"430","voice",3
"431","voices",3
"432","voter",3
"433","w",3
"434","wasnt",3
"435","wear",3
"436","weeks",3
"437","went",3
"438","whether",3
"439","wish",3
"440","work",3
"441","worked",3
"442","y",3
"443","year",3
"444","access",2
"445","advance",2
"446","affect",2
"447","afford",2
"448","alone",2
"449","am",2
"450","art",2
"451","asand",2
"452","atpm",2
"453","b",2
"454","bad",2
"455","become",2
"456","being",2
"457","bigger",2
"458","busy",2
"459","c",2
"460","calm",2
"461","came",2
"462","cannot",2
"463","chance",2
"464","choice",2
"465","choose",2
"466","chose",2
"467","civil",2
"468","class",2
"469","closed",2
"470","condition",2
"471","conditions",2
"472","contact",2
"473","costs",2
"474","course",2
"475","crew",2
"476","critical",2
"477","cuba",2
"478","darkness",2
"479","dc",2
"480","deadly",2
"481","decision",2
"482","decisions",2
"483","deep",2
"484","democracy",2
"485","did",2
"486","divided",2
"487","dog",2
"488","done",2
"489","dr",2
"490","each",2
"491","economic",2
"492","eliminate",2
"493","engaged",2
"494","epidemic",2
"495","equally",2
"496","et",2
"497","even",2
"498","everyday",2
"499","exactly",2
"500","extend",2
"501","extended",2
"502","extrovert",2
"503","face",2
"504","failure",2
"505","fair",2
"506","family",2
"507","far",2
"508","fecha",2
"509","fellow",2
"510","forget",2
"511","friendship",2
"512","fundraising",2
"513","further",2
"514","georgia",2
"515","gets",2
"516","ginsburg",2
"517","good",2
"518","governor",2
"519","grand",2
"520","grateful",2
"521","greatest",2
"522","greensburg",2
"523","guys",2
"524","h",2
"525","hardworking",2
"526","havent",2
"527","heart",2
"528","heres",2
"529","hey",2
"530","hi",2
"531","hosting",2
"532","hours",2
"533","house",2
"534","human",2
"535","humanitarian",2
"536","ideals",2
"537","illinois",2
