"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"abandon",1,0,0,1,0,1,0,1,1,1
"abil",1,3,0,1,2,0,1,3,2,3
"abl",4,5,1,4,3,5,3,3,5,3
"abus",2,1,2,2,1,2,1,1,2,2
"accept",3,0,1,2,0,2,0,5,3,4
"access",3,3,1,1,1,1,2,6,2,8
"accid",1,0,0,1,0,1,1,0,1,1
"accommod",1,0,0,1,0,0,0,0,1,0
"account",1,1,1,1,0,1,1,2,1,1
"accus",1,0,0,1,0,0,0,1,1,1
"across",5,11,0,2,5,7,4,15,12,17
"act",11,13,10,16,8,11,12,19,15,21
"acti",1,0,1,1,0,1,1,1,1,1
"action",7,4,3,8,2,5,9,8,11,16
"actual",1,1,1,1,0,0,0,2,1,2
"address",4,5,1,4,1,0,2,5,6,4
"administr",4,7,6,12,6,13,17,9,14,19
"advanc",1,1,1,1,1,0,2,1,1,1
"adviceespeci",1,0,1,1,1,1,1,1,1,1
"advocaci",1,1,0,0,1,0,0,1,0,1
"afford",1,3,2,4,2,4,7,5,6,11
"afkari",1,1,1,1,1,1,1,1,1,1
"afraid",2,0,1,2,0,1,0,0,2,1
"african",1,2,1,1,2,1,1,2,1,2
"africanamerican",1,1,0,0,1,1,1,1,1,1
"aft",1,0,0,1,0,0,1,1,1,1
"aftermath",1,0,1,1,0,1,0,0,1,0
"afternoon",1,2,1,2,0,1,1,1,2,2
"ago",10,9,6,8,6,8,5,13,13,12
"agre",2,2,1,1,1,0,0,3,1,5
"agreement",1,1,0,1,1,1,1,1,1,2
"agreementand",1,1,1,1,0,1,0,0,1,0
"ahead",4,1,2,2,1,4,2,2,5,7
"air",1,1,1,1,0,2,0,0,2,1
"alex",1,0,0,1,0,0,0,1,1,1
"allow",3,6,1,4,3,4,4,4,5,4
"alongsid",1,2,0,1,2,0,1,2,1,2
"alreadi",4,1,3,3,0,4,0,2,4,1
"alwa",1,1,1,1,1,0,0,1,1,1
"alway",7,10,5,9,12,7,9,18,14,19
"amari",1,1,0,1,1,1,1,1,1,1
"amb",1,0,0,1,0,0,1,0,1,0
"ame",1,0,1,1,1,0,0,3,1,3
"amend",1,1,0,0,1,1,1,1,1,2
"ameri",1,0,1,1,0,1,1,0,1,0
"america",10,31,12,15,27,16,24,38,25,52
"american",40,44,21,46,41,43,43,71,69,81
"americansand",1,0,1,1,0,1,0,0,1,0
"americansnot",1,1,1,1,1,1,1,1,1,1
"americasaf",1,0,0,1,1,1,0,1,1,1
"ami",1,2,0,0,1,1,1,1,2,1
