"","word","n"
"1","the",757
"2","to",445
"3","and",380
"4","a",321
"5","of",300
"6","in",255
"7","is",220
"8","for",200
"9","you",167
"10","i",154
"11","will",153
"12","on",152
"13","biden",133
"14","be",127
"15","are",118
"16","we",110
"17","our",106
"18","that",98
"19","this",98
"20","he",94
"21","your",94
"22","it",91
"23","vote",87
"24","great",82
"25","was",82
"26","have",80
"27","trump",80
"28","joe",76
"29","with",76
"30","my",75
"31","has",71
"32","president",68
"33","all",59
"34","thank",59
"35","at",57
"36","they",57
"37","more",56
"38","people",54
"39","now",53
"40","an",52
"41","if",51
"42","just",51
"43","by",49
"44","not",49
"45","his",46
"46","court",45
"47","as",43
"48","from",43
"49","out",43
"50","new",42
"51","maga",41
"52","supreme",41
"53","amendment",40
"54","american",40
"55","big",39
"56","than",39
"57","who",39
"58","election",38
"59","today",38
"60","get",37
"61","news",37
"62","florida",36
"63","so",36
"64","country",35
"65","democrats",35
"66","one",35
"67","back",34
"68","going",33
"69","second",33
"70","up",33
"71","when",33
"72","no",32
"73","were",32
"74","never",31
"75","very",31
"76","would",30
"77","fake",29
"78","media",29
"79","about",28
"80","her",28
"81","what",28
"82","win",28
"83","fbi",27
"84","like",27
"85","me",27
"86","senate",27
"87","state",27
"88","barrett",26
"89","but",26
"90","do",26
"91","jobs",26
"92","their",26
"93","america",25
"94","years",25
"95","down",24
"96","endorsement",24
"97","judge",24
"98","or",24
"99","pennsylvania",24
"100","sleepy",24
"101","total",24
"102","us",24
"103","first",23
"104","right",23
"105","white",23
"106","am",22
"107","ballots",22
"108","house",22
"109","many",22
"110","she",22
"111","should",22
"112","history",21
"113","much",21
"114","said",21
"115","see",21
"116","voters",21
"117","want",21
"118","been",20
"119","only",20
"120","there",20
"121","time",20
"122","voting",20
"123","against",19
"124","being",19
"125","complete",19
"126","go",19
"127","how",19
"128","left",19
"129","make",19
"130","over",19
"131","states",19
"132","tonight",19
"133","way",19
"134","even",18
"135","republicans",18
"136","these",18
"137","which",18
"138","also",17
"139","always",17
"140","amy",17
"141","breaking",17
"142","can",17
"143","coney",17
"144","corrupt",17
"145","day",17
"146","dems",17
"147","did",17
"148","had",17
"149","him",17
"150","last",17
"151","wants",17
"152","why",17
"153","after",16
"154","debate",16
"155","dont",16
"156","flynn",16
"157","got",16
"158","know",16
"159","other",16
"160","protect",16
"161","watch",16
"162","ballot",15
"163","because",15
"164","book",15
"165","campaign",15
"166","carolina",15
"167","democrat",15
"168","early",15
"169","ever",15
"170","healthcare",15
"171","its",15
"172","life",15
"173","night",15
"174","soon",15
"175","strong",15
"176","again",14
"177","any",14
"178","hunter",14
"179","long",14
"180","made",14
"181","nomination",14
"182","radical",14
"183","ready",14
"184","them",14
"185","think",14
"186","totally",14
"187","united",14
"188","where",14
"189","another",13
"190","better",13
"191","done",13
"192","fight",13
"193","georgia",13
"194","good",13
"195","hes",13
"196","law",13
"197","look",13
"198","michigan",13
"199","nancy",13
"200","nominee",13
"201","obama",13
"202","ohio",13
"203","political",13
"204","presidential",13
"205","russia",13
"206","support",13
"207","take",13
"208","th",13
"209","under",13
"210","wins",13
"211","before",12
"212","doing",12
"213","hoax",12
"214","iowa",12
"215","job",12
"216","let",12
"217","must",12
"218","north",12
"219","order",12
"220","poll",12
"221","polls",12
"222","put",12
"223","really",12
"224","republican",12
"225","say",12
"226","show",12
"227","wow",12
"228","absentee",11
"229","best",11
"230","bidens",11
"231","china",11
"232","enforcement",11
"233","everyone",11
"234","far",11
"235","fracking",11
"236","getting",11
"237","government",11
"238","keep",11
"239","money",11
"240","most",11
"241","next",11
"242","plan",11
"243","politician",11
