"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0
"5",0,0,1,0,0,0,0,1,1,0
"6",0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,1,0
"10",0,1,0,0,1,0,0,1,0,3
"11",0,1,0,0,1,0,0,1,1,1
"12",0,0,0,1,0,0,0,1,2,1
"13",1,2,1,2,1,4,2,6,4,3
"14",0,1,0,0,0,0,0,2,1,2
"15",0,0,0,0,0,0,0,0,0,0
"16",1,0,1,2,0,0,0,1,1,1
"17",0,2,0,0,0,0,0,0,0,1
"18",0,1,1,0,0,1,1,2,3,1
"19",0,0,1,0,0,0,0,1,1,1
"20",0,0,0,0,0,0,0,1,0,0
"21",1,1,0,0,2,1,1,4,1,4
"22",0,1,0,1,0,2,0,1,3,0
"23",0,0,0,0,0,0,1,0,0,0
"24",0,0,0,0,0,0,0,0,0,1
"25",0,0,0,0,0,0,1,0,0,1
"26",1,0,0,1,0,0,0,0,1,0
"27",0,1,0,0,1,0,1,1,0,1
"28",0,0,0,1,0,0,0,1,0,2
"29",0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,1
"31",0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0
"34",2,1,1,2,2,1,0,2,4,2
"35",0,0,0,0,0,0,0,0,1,0
"36",1,1,0,0,1,2,3,2,2,5
"37",0,0,0,1,0,0,0,2,2,1
"38",0,0,0,0,0,0,0,0,0,0
"39",1,2,0,0,2,1,1,2,1,2
"40",0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,1
"42",0,1,1,0,1,1,1,1,1,1
"43",0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,1
"49",0,1,0,1,2,0,1,2,0,2
"50",0,1,0,1,0,0,0,0,0,1
"51",0,1,0,0,0,0,0,1,0,1
"52",1,1,0,0,1,1,1,1,1,1
"53",1,1,0,0,1,1,1,1,1,1
"54",0,2,0,1,1,1,1,1,1,1
"55",3,2,1,2,1,1,1,1,2,2
"56",1,1,1,1,0,0,0,0,1,0
"57",1,0,0,0,0,1,0,0,1,1
"58",0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0
"60",1,0,0,1,0,0,0,0,1,0
"61",0,0,0,0,0,0,1,1,1,0
"62",1,0,1,1,0,1,0,0,2,0
"63",0,1,0,0,0,0,0,0,0,0
"64",0,1,0,0,1,0,0,1,0,1
"65",1,1,0,0,1,2,1,1,2,1
"66",0,1,0,1,0,0,0,0,0,0
"67",1,1,1,0,1,1,1,1,0,2
"68",1,0,0,1,0,1,0,0,2,1
"69",2,0,2,2,1,3,3,1,4,2
