"","word","n"
"1","biden",133
"2","vote",87
"3","trump",80
"4","joe",76
"5","president",68
"6","people",54
"7","court",45
"8","maga",41
"9","supreme",41
"10","amendment",40
"11","american",40
"12","election",38
"13","news",37
"14","florida",36
"15","country",35
"16","democrats",35
"17","fake",29
"18","media",29
"19","win",28
"20","fbi",27
"21","senate",27
"22","barrett",26
"23","jobs",26
"24","america",25
"25","endorsement",24
"26","judge",24
"27","pennsylvania",24
"28","sleepy",24
"29","total",24
"30","white",23
"31","ballots",22
"32","house",22
"33","history",21
"34","voters",21
"35","time",20
"36","voting",20
"37","complete",19
"38","left",19
"39","tonight",19
"40","republicans",18
"41","amy",17
"42","breaking",17
"43","coney",17
"44","corrupt",17
"45","day",17
"46","dems",17
"47","debate",16
"48","dont",16
"49","flynn",16
"50","protect",16
"51","watch",16
"52","ballot",15
"53","book",15
"54","campaign",15
"55","carolina",15
"56","democrat",15
"57","healthcare",15
"58","life",15
"59","night",15
"60","strong",15
"61","hunter",14
"62","nomination",14
"63","radical",14
"64","ready",14
"65","totally",14
"66","united",14
"67","fight",13
"68","georgia",13
"69","hes",13
"70","law",13
"71","michigan",13
"72","nancy",13
"73","nominee",13
"74","obama",13
"75","ohio",13
"76","political",13
"77","presidential",13
"78","russia",13
"79","support",13
"80","wins",13
"81","hoax",12
"82","iowa",12
"83","job",12
"84","north",12
"85","poll",12
"86","polls",12
"87","republican",12
"88","wow",12
"89","absentee",11
"90","bidens",11
"91","china",11
"92","enforcement",11
"93","fracking",11
"94","government",11
"95","money",11
"96","plan",11
"97","politician",11
"98","run",11
"99","taxes",11
"100","usa",11
"101","won",11
"102","americans",10
"103","choice",10
"104","comey",10
"105","covid",10
"106","crazy",10
"107","destroy",10
"108","didnt",10
"109","economy",10
"110","elected",10
"111","forward",10
"112","governor",10
"113","hard",10
"114","hillary",10
"115","home",10
"116","immediately",10
"117","military",10
"118","minnesota",10
"119","police",10
"120","scotus",10
"121","seniors",10
"122","sign",10
"123","trumps",10
"124","administration",9
"125","ago",9
"126","bad",9
"127","care",9
"128","chris",9
"129","coronavirus",9
"130","crime",9
"131","crowd",9
"132","defend",9
"133","justice",9
"134","live",9
"135","official",9
"136","pack",9
"137","party",9
"138","pelosi",9
"139","request",9
"140","security",9
"141","stand",9
"142","thousands",9
"143","true",9
"144","world",9
"145","wrong",9
"146","agree",8
"147","announced",8
"148","antifa",8
"149","approval",8
"150","california",8
"151","clinton",8
"152","close",8
"153","coming",8
"154","congratulations",8
"155","congressman",8
"156","donald",8
"157","failed",8
"158","hardworking",8
"159","honor",8
"160","incredible",8
"161","information",8
"162","john",8
"163","laworder",8
"164","loyal",8
"165","massive",8
"166","mike",8
"167","public",8
"168","report",8
"169","tremendous",8
"170","vaccine",8
"171","virginia",8
"172","voter",8
"173","airport",7
"174","caught",7
"175","chinese",7
"176","doesnt",7
"177","dollars",7
"178","family",7
"179","fast",7
"180","federal",7
"181","gun",7
"182","guy",7
"183","hurricane",7
"184","interviewed",7
"185","ive",7
"186","love",7
"187","low",7
"188","lower",7
"189","national",7
"190","office",7
"191","power",7
"192","probe",7
"193","rally",7
"194","record",7
"195","release",7
"196","remember",7
"197","senator",7
"198","shut",7
"199","south",7
"200","stimulus",7
"201","supports",7
"202","tax",7
"203","vp",7
"204","wallace",7
"205","wisconsin",7
"206","york",7
"207","act",6
"208","agent",6
"209","biggest",6
"210","black",6
"211","borders",6
"212","business",6
"213","conditions",6
"214","conference",6
"215","congress",6
"216","criminal",6
"217","crooked",6
"218","elections",6
"219","energy",6
"220","enthusiasm",6
"221","fraud",6
"222","happen",6
"223","harris",6
"224","harvesting",6
"225","honored",6
"226","insurance",6
"227","interview",6
"228","join",6
"229","kamala",6
"230","leader",6
"231","market",6
"232","move",6
"233","nice",6
"234","person",6
"235","preexisting",6
"236","questions",6
"237","race",6
"238","received",6
"239","rigged",6
"240","rights",6
"241","save",6
"242","steve",6
"243","story",6
"244","supporters",6
"245","taking",6
"246","talk",6
"247","term",6
"248","texas",6
"249","thrilled",6
"250","vacancy",6
"251","agenda",5
"252","answer",5
"253","arizona",5
"254","barnett",5
"255","beginning",5
"256","bill",5
"257","briefed",5
"258","brought",5
"259","call",5
"260","con",5
"261","confirm",5
"262","constitutional",5
"263","cost",5
"264","county",5
"265","coup",5
"266","debates",5
"267","declassified",5
"268","dem",5
"269","died",5
"270","disaster",5
"271","excellent",5
"272","fbis",5
"273","fill",5
"274","friends",5
"275","gop",5
"276","guns",5
"277","hall",5
"278","hold",5
"279","hope",5
"280","idea",5
"281","illegally",5
"282","im",5
"283","investigation",5
"284","iron",5
"285","judicial",5
"286","lamestream",5
"287","lied",5
"288","major",5
"289","november",5
"290","packing",5
"291","pay",5
"292","pme",5
"293","process",5
"294","raise",5
"295","range",5
"296","read",5
"297","real",5
"298","rep",5
"299","reported",5
"300","rest",5
"301","russian",5
"302","scandal",5
"303","scully",5
"304","senators",5
"305","serve",5
"306","spied",5
"307","standing",5
"308","statement",5
"309","stock",5
"310","strongly",5
"311","suburbs",5
"312","test",5
"313","testing",5
"314","texts",5
"315","thursday",5
"316","told",5
"317","tuesday",5
"318","twitter",5
"319","video",5
"320","virus",5
"321","votebymail",5
"322","wall",5
"323","watcher",5
"324","week",5
"325","winmore",5
"326","winning",5
"327","workers",5
"328","absolutely",4
"329","atpm",4
"330","badly",4
"331","ban",4
"332","bay",4
"333","begin",4
"334","bernie",4
"335","bombshell",4
"336","border",4
"337","brave",4
"338","brilliant",4
"339","bring",4
"340","build",4
"341","calling",4
"342","candidate",4
"343","caused",4
"344","city",4
"345","claims",4
"346","collusion",4
"347","committee",4
"348","companies",4
"349","constitution",4
"350","control",4
"351","corruption",4
"352","cut",4
"353","days",4
"354","deal",4
"355","delta",4
"356","detail",4
"357","documents",4
"358","drug",4
"359","east",4
"360","email",4
"361","evening",4
"362","exclusive",4
"363","families",4
"364","force",4
"365","free",4
"366","future",4
"367","god",4
"368","happening",4
"369","heading",4
"370","held",4
"371","heroes",4
"372","highly",4
"373","including",4
"374","intelligence",4
"375","inyears",4
"376","james",4
"377","justices",4
"378","land",4
"379","landed",4
"380","legal",4
"381","level",4
"382","lies",4
"383","line",4
"384","local",4
"385","lose",4
"386","loser",4
"387","lot",4
"388","lying",4
"389","macon",4
"390","maine",4
"391","majority",4
"392","makeamericagreatagain",4
"393","medical",4
"394","mexico",4
"395","millions",4
"396","minneapolis",4
"397","moderator",4
"398","month",4
"399","mueller",4
"400","nations",4
"401","nominate",4
"402","outstanding",4
"403","patients",4
"404","patriots",4
"405","patriotsdays",4
"406","peace",4
"407","pence",4
"408","pigs",4
"409","polling",4
"410","post",4
"411","pres",4
"412","presidentis",4
"413","project",4
"414","prosperity",4
"415","proud",4
"416","proudly",4
"417","providing",4
"418","puppet",4
"419","ratings",4
"420","recovery",4
"421","red",4
"422","reed",4
"423","refuses",4
"424","related",4
"425","remarks",4
"426","repeal",4
"427","ridiculous",4
"428","running",4
"429","safe",4
"430","saved",4
"431","section",4
"432","sen",4
"433","son",4
"434","source",4
"435","st",4
"436","started",4
"437","stop",4
"438","television",4
"439","tennessee",4
"440","threat",4
"441","times",4
"442","tomorrow",4
"443","underway",4
"444","veterans",4
"445","visit",4
"446","volunteer",4
"447","wave",4
"448","weak",4
"449","weeks",4
"450","wi",4
"451","wont",4
"452","youre",4
"453","ads",3
"454","afternoon",3
"455","allegedly",3
"456","americas",3
"457","analysts",3
"458","appeals",3
"459","assets",3
"460","attack",3
"461","attention",3
"462","attorney",3
"463","barack",3
"464","based",3
"465","beautiful",3
"466","begins",3
"467","ben",3
"468","bidenharris",3
"469","billionaire",3
"470","bloomberg",3
"471","board",3
"472","briefing",3
"473","businessman",3
"474","cable",3
"475","calls",3
"476","center",3
"477","chance",3
"478","change",3
"479","changed",3
"480","charge",3
"481","churches",3
"482","cities",3
"483","citizens",3
"484","cold",3
"485","columbus",3
"486","commission",3
"487","committed",3
"488","communist",3
"489","congressional",3
"490","conveniently",3
"491","costs",3
"492","created",3
"493","crossfire",3
"494","dale",3
"495","decades",3
"496","deliver",3
"497","democratic",3
"498","development",3
"499","director",3
"500","disgraceful",3
"501","dossier",3
"502","easily",3
"503","emails",3
"504","enjoy",3
"505","entire",3
"506","entitled",3
"507","excerptlewandowskibossie",3
"508","executive",3
"509","explosive",3
"510","facebook",3
"511","false",3
"512","fans",3
"513","fantastic",3
"514","farmers",3
"515","father",3
"516","favorite",3
"517","feel",3
"518","feeling",3
"519","fighting",3
"520","filling",3
"521","firm",3
"522","foreign",3
"523","forever",3
"524","framed",3
"525","giant",3
"526","green",3
"527","greg",3
"528","hacked",3
"529","handling",3
"530","hasnt",3
"531","health",3
"532","hearings",3
"533","hero",3
"534","historic",3
"535","historical",3
"536","hit",3
"537","hospital",3
"538","ilhan",3
"539","ill",3
"540","illegal",3
"541","includes",3
"542","incompetent",3
"543","individual",3
"544","inmonths",3
"545","internal",3
"546","introductions",3
"547","investigating",3
"548","janesville",3
"549","jersey",3
"550","johnsonjohnson",3
"551","johnstown",3
"552","joined",3
"553","joke",3
"554","jurist",3
"555","key",3
"556","laptop",3
"557","lead",3
"558","liability",3
"559","lie",3
"560","listen",3
"561","lordstown",3
"562","lost",3
"563","louisiana",3
"564","mail",3
"565","mailin",3
"566","makes",3
"567","matt",3
"568","mayor",3
"569","mccabe",3
"570","mcconnell",3
"571","medicare",3
"572","memory",3
"573","messages",3
"574","miami",3
"575","middle",3
"576","mini",3
"577","mobs",3
"578","monday",3
"579","morning",3
"580","nebraska",3
"581","negative",3
"582","network",3
"583","ny",3
"584","obliterate",3
