"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",1,1,1,2,1,1,0,3,1,2
"2",2,0,0,1,0,1,0,1,2,0
"3",1,4,0,0,1,1,1,2,1,2
"4",0,0,0,0,1,0,0,0,0,1
"5",1,2,0,0,1,1,1,3,1,2
"6",1,2,1,2,2,2,1,3,2,4
"7",1,1,0,0,2,0,0,1,2,3
"8",0,0,0,1,0,1,1,2,3,1
"9",1,2,0,0,1,1,1,1,1,1
"10",1,2,0,0,1,2,1,1,3,1
"11",0,0,0,0,0,0,1,1,0,1
"12",1,0,1,1,0,1,1,1,1,1
"13",0,2,0,0,3,1,0,2,1,3
"14",0,1,0,1,1,0,0,2,0,3
"15",1,1,0,0,1,1,1,1,1,2
"16",1,2,1,2,0,2,1,3,3,5
"17",0,2,0,0,2,0,0,2,0,2
"18",0,0,0,0,1,0,0,1,0,1
"19",1,1,0,0,1,1,1,3,1,3
"20",1,1,1,1,0,1,0,1,2,8
"21",1,1,0,0,0,0,0,3,0,3
"22",0,1,0,0,1,1,0,1,1,1
"23",0,1,0,0,0,0,0,1,0,2
"24",1,1,0,1,0,1,1,0,1,1
"25",0,5,0,0,4,0,2,2,0,6
"26",0,0,0,0,0,0,0,0,1,0
"27",0,2,0,0,0,1,0,1,1,3
"28",2,1,1,2,0,3,2,0,3,0
"29",0,0,0,1,0,2,1,0,2,1
"30",1,1,0,0,2,1,1,2,1,3
"31",1,1,2,2,1,2,2,3,3,3
"32",1,1,0,0,1,1,1,1,1,1
"33",0,0,0,0,0,0,0,1,0,1
"34",0,0,0,0,0,0,0,0,0,1
"35",0,0,0,0,0,0,1,1,0,3
"36",1,0,1,0,1,2,0,1,2,3
"37",1,3,0,0,1,0,0,2,1,3
"38",1,1,0,0,1,1,1,1,1,4
"39",0,1,0,0,0,0,0,1,0,1
"40",1,2,0,0,1,2,1,1,2,1
"41",0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,1,0,1
"43",1,0,1,2,0,1,0,2,1,0
"44",0,0,0,0,1,0,0,2,0,1
"45",0,1,0,0,1,0,0,2,0,2
"46",1,1,1,1,1,1,1,1,2,3
"47",0,2,0,0,2,0,1,2,0,2
"48",2,3,1,2,2,1,0,5,3,7
"49",1,0,0,0,0,0,0,1,1,1
"50",0,2,0,0,1,0,0,1,0,1
"51",1,1,0,0,1,0,0,2,2,2
"52",0,0,0,0,0,0,1,1,0,1
"53",0,1,0,1,0,1,1,0,2,0
"54",0,1,0,1,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,1
"56",0,0,0,0,0,0,0,1,0,1
"57",0,4,1,1,2,0,0,6,2,6
"58",0,0,0,1,0,0,0,2,0,1
"59",0,0,0,0,0,1,0,1,1,1
"60",1,0,0,1,0,1,1,1,1,1
"61",1,0,1,1,0,1,1,1,1,1
"62",1,3,0,0,1,1,1,2,1,3
"63",1,0,1,0,0,1,1,3,1,2
"64",2,1,2,2,1,1,1,0,2,1
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,1,1,1
"68",0,0,0,0,0,0,0,1,0,0
"69",0,0,0,0,0,1,0,2,1,0
"70",0,0,0,0,0,0,0,0,0,0
"71",1,1,0,1,0,0,0,3,0,4
"72",0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0
"74",1,1,0,0,0,0,1,0,1,1
"75",0,2,0,0,2,1,1,2,0,3
"76",1,1,0,0,1,1,1,1,1,1
"77",2,2,2,1,0,2,1,1,3,2
"78",2,1,1,1,1,2,2,1,2,1
"79",1,1,0,0,1,1,1,1,1,2
"80",1,0,0,1,0,1,1,0,1,1
"81",1,3,1,1,3,1,1,3,1,4
"82",0,1,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,1,0,0,2
"85",3,3,1,2,2,2,3,3,2,4
"86",1,3,0,1,2,1,2,2,1,3
"87",1,2,0,0,1,1,1,1,1,1
"88",0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0,0,0
"90",2,1,1,1,1,2,1,2,2,2
"91",0,2,0,0,0,0,0,0,0,2
"92",2,0,1,2,0,1,0,4,2,3
"93",0,0,0,0,0,0,1,2,1,2
"94",2,2,0,1,0,0,0,1,0,2
"95",1,2,0,0,2,1,1,2,1,2
"96",0,1,1,2,0,1,0,0,1,0
"97",0,0,0,0,0,0,0,1,0,3
"98",0,0,0,0,0,0,0,1,0,2
"99",1,2,0,0,1,1,1,1,1,1
"100",1,1,0,0,1,2,1,1,2,1
"101",1,2,0,1,1,1,1,1,1,1
"102",0,2,0,0,2,0,1,1,0,2
"103",0,2,1,0,1,0,2,1,0,2
"104",1,2,0,0,2,1,2,2,1,3
"105",0,0,0,0,0,0,1,1,0,1
"106",1,1,0,1,0,0,0,1,1,1
"107",0,0,0,0,0,0,0,1,0,1
"108",0,1,0,0,0,0,0,0,1,2
"109",2,2,0,1,2,1,2,4,2,4
"110",2,0,2,2,0,2,0,1,2,2
"111",0,2,0,0,1,0,2,4,1,4
"112",2,0,2,1,0,1,1,2,4,1
"113",0,2,0,0,2,0,1,2,0,5
"114",1,1,0,1,1,0,1,0,1,1
"115",3,2,1,3,3,1,0,2,3,4
"116",1,0,0,1,0,0,0,1,2,1
"117",1,1,0,1,0,1,1,1,3,1
"118",0,0,0,0,1,0,0,1,0,2
"119",4,0,2,5,1,4,0,4,6,2
"120",0,0,0,0,0,0,0,0,0,1
"121",1,1,1,1,0,1,0,2,2,2
"122",1,1,0,0,1,1,1,1,1,1
"123",0,0,0,0,0,0,0,1,0,1
"124",0,0,0,0,0,0,0,1,1,5
"125",0,1,0,0,0,0,0,0,0,1
"126",0,0,1,0,0,2,0,0,2,0
"127",1,1,0,0,1,1,1,2,1,2
"128",0,3,0,0,2,0,1,2,0,3
"129",0,1,0,0,0,0,0,1,0,1
"130",1,1,0,1,1,1,1,1,1,1
"131",0,1,0,0,0,0,0,0,0,0
"132",0,1,0,1,1,0,0,1,0,2
"133",0,0,0,0,0,0,0,0,0,0
"134",2,0,1,1,0,1,1,0,2,0
"135",0,0,0,0,0,0,1,1,0,1
"136",0,0,0,0,0,0,0,0,0,0
"137",0,2,1,0,0,0,0,0,1,0
"138",1,1,0,0,1,2,1,1,2,1
"139",0,0,0,0,0,0,0,0,0,1
"140",3,0,1,6,1,4,0,2,6,3
"141",0,0,0,0,0,0,0,0,0,0
"142",0,1,0,0,1,0,1,1,0,1
"143",0,1,0,1,1,0,1,3,0,2
"144",3,1,2,3,1,3,2,3,3,5
"145",0,1,0,1,1,0,0,2,1,3
"146",3,4,1,2,3,2,2,3,4,4
"147",3,2,0,2,1,2,2,1,3,1
"148",0,0,0,0,1,0,0,2,0,2
"149",1,2,0,0,1,1,2,1,1,1
"150",1,1,0,1,1,0,1,3,1,3
"151",0,0,0,0,0,0,0,0,0,0
"152",1,1,0,0,1,1,1,1,1,1
"153",1,0,0,0,0,0,0,1,1,1
"154",1,1,1,2,0,1,0,0,3,1
"155",0,0,0,0,0,0,0,1,2,1
"156",0,1,0,0,1,0,0,2,0,2
"157",0,1,0,0,1,0,0,3,0,3
"158",0,1,0,0,0,0,0,0,0,1
"159",1,0,0,1,0,1,1,1,2,1
"160",0,0,0,0,0,0,0,0,0,0
"161",0,1,0,0,1,0,0,1,0,1
"162",0,0,0,0,0,0,0,0,0,0
"163",1,1,0,0,1,1,0,1,2,1
"164",0,0,0,0,0,0,0,0,0,0
"165",2,1,1,1,1,1,1,1,2,1
"166",1,1,0,0,1,1,1,1,2,2
"167",0,0,0,0,0,0,1,0,0,0
"168",1,1,0,1,0,0,0,1,0,1
"169",0,0,1,0,0,0,1,0,1,0
"170",0,0,0,1,1,0,1,2,0,3
"171",0,0,0,0,0,0,0,1,0,1
"172",0,1,0,0,0,0,1,0,0,0
"173",0,1,0,0,0,0,0,0,0,1
"174",0,0,0,0,0,1,0,1,1,0
"175",0,0,0,0,1,0,1,2,1,1
"176",0,0,0,0,0,0,1,0,0,0
"177",1,0,0,1,0,1,1,4,2,3
"178",1,0,1,1,0,1,0,0,2,0
"179",0,1,0,0,1,0,1,1,1,3
"180",0,2,0,2,1,1,2,1,3,2
"181",0,0,1,1,0,1,1,0,2,0
"182",0,0,0,0,0,0,0,1,1,2
"183",0,0,0,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0,0,0
"185",2,0,1,2,0,1,0,0,2,0
"186",0,1,0,0,0,0,0,1,0,1
"187",1,2,0,0,1,1,1,1,1,1
"188",0,1,0,0,1,0,1,3,1,3
"189",0,1,0,0,0,0,0,0,0,0
"190",3,2,2,4,1,3,1,1,3,2
"191",0,1,0,0,0,0,0,1,0,1
"192",1,3,0,0,1,1,1,1,1,2
"193",1,1,0,0,1,1,1,1,1,1
"194",1,2,1,2,2,1,3,2,2,4
"195",0,1,0,0,1,0,0,0,0,3
"196",0,3,1,0,0,0,0,2,2,2
"197",0,0,0,0,1,0,0,1,0,1
"198",1,3,0,0,1,1,1,1,1,2
"199",0,0,0,0,0,0,0,0,0,0
"200",0,2,0,0,0,0,0,0,1,1
"201",1,2,0,1,2,1,1,2,2,2
"202",0,1,0,0,1,1,0,0,1,1
"203",2,2,1,1,3,2,1,4,2,4
"204",0,0,0,0,0,0,0,1,0,2
"205",2,2,1,3,0,1,2,0,2,0
"206",0,0,0,0,0,1,1,1,1,1
"207",0,0,0,1,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,1,0,1
"209",0,0,0,0,0,0,0,5,0,5
"210",4,4,1,3,4,2,3,5,4,5
"211",1,2,0,1,4,0,0,3,2,5
"212",1,0,0,1,0,2,0,0,3,0
"213",0,0,0,0,0,0,0,2,0,1
"214",1,0,1,1,1,1,0,5,1,2
"215",1,1,0,0,1,0,0,2,1,1
"216",1,1,0,0,1,1,1,1,1,1
"217",1,1,0,0,1,1,1,1,1,1
"218",0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,1,0,1
"220",0,0,0,0,0,0,0,0,0,0
"221",1,1,0,0,1,1,1,2,1,4
"222",1,1,0,1,1,3,0,2,3,1
"223",0,1,0,0,1,0,0,2,1,3
"224",1,1,0,0,0,0,1,1,0,1
"225",1,0,0,0,0,0,0,0,1,0
"226",0,2,0,0,2,0,0,2,0,3
"227",0,0,0,0,0,0,0,1,1,0
"228",0,1,0,0,0,0,0,0,0,2
"229",0,0,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,1,0,1
"231",0,0,0,0,0,0,0,1,0,1
"232",0,0,0,1,0,0,0,0,0,0
"233",1,2,1,2,2,1,1,4,1,5
"234",0,0,0,0,0,0,0,0,0,1
"235",1,0,1,2,0,2,1,1,3,1
"236",0,0,0,0,0,0,0,0,0,0
"237",0,2,0,0,2,0,1,5,0,5
"238",0,0,0,0,0,0,0,0,0,1
"239",0,0,0,0,1,0,0,1,0,1
"240",0,1,0,1,0,0,0,0,0,0
"241",1,1,1,1,1,1,1,2,1,2
"242",1,2,0,0,1,0,1,1,1,2
"243",0,0,0,0,0,0,1,1,0,1
"244",0,0,0,0,0,0,0,0,0,0
"245",1,1,0,0,1,2,1,1,2,1
"246",0,0,0,0,0,0,0,1,0,3
"247",1,1,0,0,1,1,1,1,1,1
"248",0,0,0,0,0,0,0,0,0,0
"249",0,3,0,0,0,0,0,1,1,1
"250",1,1,0,0,1,1,1,1,1,2
"251",4,1,1,6,0,2,1,0,5,0
"252",2,2,0,2,1,1,1,3,1,5
"253",1,3,1,1,2,0,2,3,0,5
"254",0,0,0,0,0,0,0,1,0,0
"255",0,0,0,0,0,0,0,0,1,0
"256",1,3,0,0,1,1,1,1,2,1
"257",0,0,0,0,0,0,0,0,0,0
"258",0,3,0,0,4,0,2,4,0,5
"259",0,0,0,0,0,0,1,0,0,0
"260",0,3,0,0,0,0,0,0,1,0
"261",0,0,0,0,0,0,0,2,0,2
"262",0,0,0,0,0,0,0,0,0,0
"263",0,1,0,0,0,1,0,2,0,2
"264",0,0,0,0,0,0,0,0,0,0
"265",0,1,0,0,2,0,0,1,0,4
"266",0,0,0,0,0,0,0,0,0,0
"267",0,0,0,0,0,0,0,2,1,1
"268",0,0,0,0,0,0,0,1,0,1
"269",0,0,0,0,0,0,0,0,0,0
"270",0,0,0,0,0,0,0,1,1,0
"271",0,0,0,0,0,0,0,0,0,0
"272",0,2,0,0,0,0,0,1,0,3
"273",0,2,0,0,2,1,1,3,2,2
"274",0,2,0,1,1,0,2,3,0,5
"275",0,2,0,1,1,1,1,1,2,1
"276",1,2,0,0,1,1,1,3,1,3
"277",0,2,0,0,2,1,0,3,2,4
"278",1,0,1,2,0,1,0,2,2,3
"279",1,1,1,4,1,2,1,1,4,3
"280",0,7,0,0,7,0,2,3,0,10
"281",0,0,0,1,1,1,1,1,2,1
"282",0,3,0,0,4,0,2,4,0,6
"283",0,3,0,0,5,0,2,3,0,6
"284",0,1,0,0,1,0,1,2,0,2
"285",1,1,0,0,1,1,2,1,1,2
"286",0,2,0,0,2,0,0,2,0,3
"287",0,2,0,0,0,0,1,1,0,4
"288",1,0,0,0,0,0,1,0,1,0
"289",0,1,0,1,0,0,0,0,0,1
"290",1,0,0,0,0,0,0,0,1,0
"291",0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,1,1,0,2
"294",1,2,0,1,2,1,1,4,2,4
"295",0,1,0,1,0,0,0,0,0,1
"296",1,0,1,0,0,1,0,0,2,1
"297",0,0,0,0,0,0,0,0,0,0
"298",1,0,1,1,0,1,0,1,1,2
"299",0,1,0,1,0,0,0,0,0,1
"300",1,0,0,1,0,0,1,1,0,1
"301",0,1,0,1,1,0,0,1,0,3
"302",0,0,0,0,0,0,0,0,1,0
"303",0,1,0,1,1,0,0,1,0,1
"304",0,1,0,1,0,0,0,1,0,1
"305",1,0,0,0,0,0,0,0,1,0
"306",0,0,0,0,0,0,0,0,0,0
"307",0,1,0,0,1,1,0,3,1,4
"308",0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0,0
"310",1,1,0,0,0,0,1,0,1,1
"311",0,0,0,0,0,0,1,1,0,1
"312",0,0,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0,0,1,0,1
"314",1,1,0,0,1,1,1,1,1,2
"315",2,0,2,2,0,1,2,2,3,1
"316",0,0,0,0,0,0,0,0,0,0
"317",1,0,1,1,0,0,1,1,1,1
"318",0,0,0,0,0,0,0,0,0,0
"319",0,0,0,1,0,0,1,2,1,1
