"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"able",1,1,0,0,1,1,1,1,1,1
"absentee",2,2,2,2,1,4,1,3,4,4
"absolutely",1,1,1,1,1,1,1,1,1,1
"acceptable",2,1,2,2,1,2,1,1,2,2
"according",1,1,0,0,1,1,1,1,1,1
"action",1,0,0,1,0,1,0,1,1,1
"administration",3,0,1,3,1,2,3,2,3,3
"admitted",1,1,1,1,0,2,0,0,2,1
"advocates",1,0,0,1,0,1,0,0,1,0
"airtime",1,0,1,0,0,0,0,0,1,0
"allegiance",3,3,2,4,4,3,1,4,3,4
"allowed",2,1,1,2,0,2,0,1,2,1
"allowing",1,0,1,0,0,0,0,0,1,1
"allows",1,0,0,1,0,1,0,1,1,1
"alone",1,0,1,1,0,1,0,1,1,0
"also",1,0,1,0,0,0,1,1,1,0
"always",2,0,2,0,1,1,0,1,3,4
"amendment",1,1,1,1,0,1,0,0,1,0
"ameri",1,0,1,1,0,1,0,1,1,0
"american",1,2,0,1,1,1,1,2,1,1
"americans",1,0,0,0,0,1,0,0,1,0
"andrew",1,1,1,1,0,1,1,1,1,2
"anger",1,0,1,1,0,1,0,1,1,1
"anna",1,1,1,1,0,1,0,0,1,0
"another",3,3,3,2,2,3,2,3,3,3
"answer",1,0,1,1,0,1,0,0,1,1
"anthem",1,0,1,1,1,1,0,1,1,1
"anthony",1,1,0,0,1,1,1,1,1,1
"antigovernment",1,0,0,1,0,1,0,1,1,1
"anyone",1,0,1,2,1,1,1,2,1,2
"apprehended",1,0,0,1,0,1,1,0,1,0
"approval",1,0,0,1,0,1,1,1,1,2
"approved",1,0,0,1,0,1,1,1,1,1
"arent",2,1,1,1,1,1,2,1,3,1
"arising",1,0,1,1,0,1,0,0,1,0
"arms",1,0,1,1,0,1,0,1,1,1
"arrest",1,0,0,1,0,1,0,1,1,1
"ask",1,2,2,1,0,2,0,1,2,2
"asked",3,3,3,3,0,3,2,3,3,3
"asking",1,1,0,1,1,1,1,1,1,1
"attempt",1,1,1,1,1,1,1,1,1,1
"back",3,3,2,2,3,5,3,4,6,4
"bad",8,4,8,8,2,8,2,4,8,4
"ballot",3,4,2,2,1,4,2,4,4,4
"ballots",11,5,8,10,4,12,6,6,13,9
"baltimore",2,0,0,2,0,2,2,0,2,0
"banning",1,0,1,1,0,1,0,0,1,1
"barack",2,1,0,0,1,0,1,1,2,1
"battle",2,0,0,0,0,0,0,0,2,0
"beat",1,1,1,1,1,1,1,1,1,1
"become",1,0,1,1,1,1,0,1,1,1
"beforeandoff",1,0,1,1,0,1,1,0,1,0
"begging",1,0,0,0,0,0,0,0,1,1
"beginning",1,1,1,1,0,1,0,0,1,0
"believe",1,0,1,1,0,1,0,0,1,0
"beloved",1,1,0,0,1,1,1,1,1,1
"bernie",2,0,1,2,0,2,0,1,2,0
